DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
NACIONAL;OD01451420;ESCUELA ESTADAL LA QUEBRADA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01921418;ESCUELA FLOR DE MALDONADO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00221407;ESCUELA GENERAL JOSE ANTONIO PAEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14421420;ESCUELA LA AGUADA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14771420;ESCUELA LA HONDA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD05461420;ESCUELA LA MAJUMBA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14411420;ESCUELA LAS MORAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04021405;ESCUELA MALDONADO LOPEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14471420;ESCUELA MUCANDU;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01751401;ESCUELA SUR AMERICA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17681417;ESTADO ANZOATEGUI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S2757D1417;ESTADO ANZOATEGUI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17471412;ET DOMINGO PEÑA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17561413;ETARN MESA CERRADA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1964D1412;ETC JOSE FELIX RIBAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17051421;EZEQUIEL ZAMORA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02071423;FELIX ROMAN DUQUE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17371423;FUND NAC EL NIÑO SIMON;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17361421;FUNDACION NACIONAL EL NIÑO SIMON;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02141403;G-E CARLOS  ZERPA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD15841421;GENOVEBA MONTERO DE V;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01401420;GRUPO ESCOLAR MANUEL GUAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02781412;I.E.E. CIUDAD DE MERIDA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12561412;I.E.E. JUAN HABLO II;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16191402;IEE 22 DE FEBRERO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12591412;IEE AMEPANE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16531414;IEE IROCHKA APOLINAR DE P.;Solo dejaron observaciones o ceros.
NACIONAL;OD16321407;IEE JUAN CARLOS AZUAJE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16011406;IEE LOS ANGELES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17571413;IEE TIMOTES;Solo dejaron observaciones o ceros.
NACIONAL;OD17001410;IEE-EL VIGIA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02811412;IEE-LOS ANDES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00251412;IEE-OFELIA T DE CORREDOR;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02171403;IEE. JACINTO NOGUERA GARCIA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02991401;INSTITUTO BOLIVARIANO DE EDUCACIÓN ESPECIAL ASUNCIÓN DUGARTE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14761420;INSTITUTO DE EDUCACION ESPECIAL JAMUEN;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD15941416;J I- FOCION FEBRES C;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16171401;JARDIN DE INFANCIA BOLIVARIANO ROSA VIRGINIA MARTINES ARAUJO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17441407;JARDIN DE INFANCIA PASCUAL IGNACIO VILLASMIL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02161421;JESUS ALVEIRO BUSTAMANTE RAMIREZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17171412;JI 5 DE JULIO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02951412;JI ANEXA NORMAL MERIDA);Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02341419;JI ESTADO APURE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00871412;JI JUAN RUIZ FAJARDO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14881421;JI MERCEDES ELENA CORDERO DE G;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02361412;JI SIMON RODRIGUEZ 1;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14431420;JICACUY;Ningún trabajador tiene datos de cuadratura.
NACIONAL;D1067D1421;JOSE NUCETE SARDI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17181403;L.B  ANDRES ELOY BLANCO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0272N1412;L.N. FLOTENCIO RAMIREZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10901404;LA VARITA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17351422;LAS HEROINAS;Solo dejaron observaciones o ceros.
NACIONAL;S2994D1408;LAS PIEDRAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17711401;LB MARIA CHIQUINQUIRA MARQUEZ DE PIRELA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON00401417;LIC NOCT MUCUCHIES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0270D1401;LICEO ALBERTO ADRIANI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16251405;LICEO ANGEL MARIA MOLINA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16661420;LICEO BOLERO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0622D1420;LICEO BOLIVARIANO LUIS ENRIQUE MARQUEZ BARILLAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17311420;LICEO EL ANIS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON15771414;LICEO LICENCIADO NELSON EOJAS EXTENSION PANAMERICANO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16681420;LICEO LOS AMARILLOS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04681401;LICEO LUISA CACERES DE ARISMENDI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17201403;LICEO MARTINIANO GONZALEZ ROJAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0270N1401;LICEO NACIONAL ALBERTO ADRIANI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1632N1412;LICEO NOCTURNO MERIDA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON13911416;LICEO NOCTURNO MUCUCHIES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S3879N1407;LICEO NOCTURNO PROFESIONAL TUCANI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1828D1405;LICEO PADRE MANUEL VARELA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16551416;LICEO PEDRO JOSÉ GONZÁLEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17771412;LILIA TERESA NEGRON RUIZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1464N1412;LN ANDRES ELOY BLANCO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0271N1421;LN.FELIX ROMAN DUQUE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10961404;LOS AZULES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10991404;LOS PALCHOS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14231419;MARIANA MONSALVE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02151421;MERCEDES ELENA CORDERO DE G;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD11001404;MUCUPUEN;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10271401;NER 409;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10241401;NER 409;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10281401;NER 409;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD11831406;NER 557 SAN JOSE Y ACEQUIAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00511406;NER 557 SAN JOSE Y ACEQUIAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17041406;NER 557 SAN JOSE Y ACEQUIAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD03211405;NER MUCUTUY;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02871405;NER MUCUTUY;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD03221405;NER MUCUTUY;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD03231405;NER MUCUTUY;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD13711414;NER NUC ESC RURAL N 057;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01871414;NER NUC ESC RURAL N 057;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD13731414;NER NUC ESC RURAL N 057;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12701412;NER NUC ESC RURAL N-094;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04791403;NER NUC ESC.RURAL N 339;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10771403;NER NUC ESC.RURAL N 339;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10681403;NER NUC ESC.RURAL N 339;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10761403;NER NUC ESC.RURAL N 339;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04851403;NER NUC ESC.RURAL N 339;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD05341403;NER NUC ESC.RURAL N 340;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10781403;NER NUC ESC.RURAL N 512;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD05641402;NER NUC ESCOLAR RURAL N° 159;Solo dejaron observaciones o ceros.
NACIONAL;OD13361413;NER- NUCLEO ESCOLAR RURAL 196;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD13371413;NER- NUCLEO ESCOLAR RURAL 196;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD13381413;NER- NUCLEO ESCOLAR RURAL 196;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14241419;NER-NUC ESC RURAL N 022;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD08231409;NER-NUC ESC RURAL N 197;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD15951416;NER-NUC ESC RURAL N 271;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10101401;NER-NUC ESC RURAL N 338;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD09911401;NER-NUC ESC RURAL N 338;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10091401;NER-NUC ESC RURAL N 338;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10171401;NER-NUC ESC RURAL N 338;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04651423;NER-NUC RURAL NO23;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04271423;NER-NUC RURAL NO23;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04251423;NER-NUC RURAL NO23;Solo dejaron observaciones o ceros.
NACIONAL;OD16991412;NER.NUC-ESC-RURAL N-427;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01191412;PE CHAMITA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02331412;PE EL FORESTALITO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17801401;PREESCOLAR GRAL CARLOS SOUBLETTE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00821408;PREESCOLAR MARTHA GONZALEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10941404;PUEBLO VIEJO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14811420;QUIRORA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17121403;RAFAEL ANTONIO GONZALEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10971404;SANTA CRUZ DEL QUEMADO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02981401;TALLER DE EDUCACION LABORAL ELVIS DE JESUS APONCIO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12641412;TEV BOLÍVAR;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01651401;U E B LA HONDA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1776D1406;U.E. DR JOSE MIGUEL MONAGAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10661403;U.E.B MESA DE LAS PALMAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14441420;U.E.B. EL CABULLAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04071422;U.E.B. RURALES EL QUEBRADON;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD15871401;UE LUIS BELTRAN PRIETO FIGUEROA;Solo dejaron observaciones o ceros.
NACIONAL;OD03171401;UEB 1ERO DE MAYO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04751401;UEB CORONEL LUIS MARIA RIVAS DAVILA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10801401;UEB FRANCISCO GONZALEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04411414;UEB GUACHICAPAZON N;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD03801407;UEB GUACHIZON I;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10111401;UEB LA COROMOTO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10351401;UEB LA LAGUNITA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14321419;UEB LA MUCUY BAJA;Solo dejaron observaciones o ceros.
NACIONAL;OD17281408;UEB LAS PIEDRAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01031422;UEB PARCELAMIENTO LA MACARENA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD09901401;UEB PEDRO CAMEJO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S3880N1412;UEN 8 DE SEPTIEMBRE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01811401;UENB ONIA CAÑO ISABEL;Solo dejaron observaciones o ceros.
