DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
ESTADAL;ON15681406;EPE EL SALADO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON11621406;EPE ELOINA SANCHEZ DE RAMIREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15631406;EPE PADRE BARILLAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD16281406;EPE PADRE DUQUE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09931401;ESC ESTADAL MAXIMILIANO RONDON ZERPA;Solo dejaron observaciones o ceros.
ESTADAL;OD04801403;ESC. PEDRO ELIAS GUTIERREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10711403;ESC.ANASTACIA MORA DE MORA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04211407;ESCUELA  ESTADAL EL CURUBAL;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05551402;ESCUELA ABDON ACOSTA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;PD05481402;ESCUELA ALEJANDRA GRISOLIA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12091409;ESCUELA ANA REYES RUJANO MENDEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD11871406;ESCUELA ANTONIO GUZMAN BLANCO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13191412;ESCUELA AUGUSTO MALAVE VILLALBA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03911408;ESCUELA AUGUSTO MIJARES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13081412;ESCUELA AURELIO SANCHEZ SANCHEZ (ANTES MOCOSOS);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD11821406;ESCUELA BALVINO ALBORNOZ RODRIGUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD11901406;ESCUELA BELKIS COROMOTO PEREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12881412;ESCUELA BOLIVARIANA MAHATMA GANDHI;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03701412;ESCUELA BOLIVARIANA MONSEÑOR DOCTOR SANTIAGO HERNANDEZ MILANES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05531402;ESCUELA BONIFACIO PUENTES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03971408;ESCUELA CARLOS CRUZ DIEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10751403;ESCUELA CARMEN DE JESUS MOLINA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON13581413;ESCUELA DE EMPRENDIMIENTO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON13601413;ESCUELA DE EMPRENDIMIENTO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10551403;ESCUELA DEBORA GUTIERREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05571402;ESCUELA DEOGRACIAS CORREDOR ROJAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13401413;ESCUELA DOMITILA DE DAVILA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13211412;ESCUELA EL APURE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13061412;ESCUELA EL HATO;Solo dejaron observaciones o ceros.
ESTADAL;OD05741407;ESCUELA ESTAAL RIO BONITO ALTO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD14711420;ESCUELA ESTADAL BELEN;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD14511420;ESCUELA ESTADAL BOLERO;Solo dejaron observaciones o ceros.
ESTADAL;OD05381416;ESCUELA ESTADAL BOLIVARIANA GLORIA DEL CARMEN QUINTERO DE PAREDES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD14541420;ESCUELA ESTADAL CAÑA BRAVA;Solo dejaron observaciones o ceros.
ESTADAL;OD03661407;ESCUELA ESTADAL COSTA RICA II;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03771407;ESCUELA ESTADAL DELICIAS ALTAS;Solo dejaron observaciones o ceros.
ESTADAL;OD05001420;ESCUELA ESTADAL EL CANEY;Solo dejaron observaciones o ceros.
ESTADAL;OD09511420;ESCUELA ESTADAL EL COROZO;Ningún trabajador tiene datos de cuadratura.
