CANTIDAD,MUNICIPIO,PARROQUIA,DENOMINACIÓN,PLAN DE ESTUDIO 1,PLAN DE ESTUDIO 2,PLAN DE ESTUDIO 3,ESPECIALIDAD 3,MENCIÓN 3,PLAN DE ESTUDIO 4,ESPECIALIDAD 4,MENCIÓN 4,PLAN DE ESTUDIO 5,ESPECIALIDAD 5,MENCIÓN 5,PLAN DE ESTUDIO 6,ESPECIALIDAD 6,MENCIÓN 6,PLAN DE ESTUDIO 7,ESPECIALIDAD 7,MENCIÓN 7,PLAN DE ESTUDIO 8,ESPECIALIDAD 8,MENCIÓN 8,PLAN DE ESTUDIO 9,ESPECIALIDAD 9,MENCIÓN 9,PLAN DE ESTUDIO 10,ESPECIALIDAD 10,MENCIÓN 10,NOMBRE NOMINAL DEL PLANTEL,NUEVO EPÓNIMO,CODIGO DEL PLANTEL,CODIGO DEPENDENCIA 1,CODIGO DEPENDENCIA 2,CODIGO ESTADISTICO,DEPENDENCIA,UBICACIÓN GEOGRAFICA,NIVEL,MODALIDAD,TURNOS DEL PLANTEL,METROS 2,MATERNAL FEM,MATERNAL MAS,MATERNAL TOTAL,PREESCOLAR FEM,PREESCOLAR MAS,PREESCOLAR TOTAL,INICIAL FEM,INICIAL MAS,INICIAL TOTAL,PRIMARIA FEM,PRIMARIA MAS,PRIMARIA TOTAL,MEDIA GENERAL FEM,MEDIA GENERAL MAS,MEDIA GENERAL TOTAL,MEDIA TECNICA FEM,MEDIA TECNICA MAS,MEDIA TECNICA TOTAL,ADULTO FEM,ADULTO MAS,ADULTO TOTAL,ESPECIAL FEM,ESPECIAL MAS,ESPECIAL TOTAL,MATRICULA TOTAL,MATERNAL,PREESCOLAR,PRIMARIA,MEDIA GENERAL,MEDIA TECNICA,ADULTO,ESPECIAL,
263,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER MUCUTUY,MARIA ADMITA,OD03221405,6942112,,140244,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,
264,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER MUCUTUY,JUAN EVANGELISTA,OD03231405,6942112,,141853,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,
265,ARZOBISPO CHACON,MUCUTUY,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,NER MUCUTUY,VICENTE ROJAS,OD03241405,6942112,,140338,NACIONAL,,,,,,0,0,0,2,3,5,2,3,5,6,5,11,11,3,14,0,0,0,0,0,0,0,0,0,30,0,1,5,,,0,0,
266,ARZOBISPO CHACON,CANAGUA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E B.RINCON,JOSE EUSTORGIO RIVAS,OD11441405,,,140273,ESTADAL,,,,,,0,0,0,10,6,16,10,6,16,25,36,61,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1,6,0,0,0,0,
267,ARZOBISPO CHACON,CANAGUA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA LAGUNA,CAMILO DEL CARMEN CONTRERAS,OD11041405,,,141156,ESTADAL,,,,,,0,0,0,2,1,3,2,1,3,6,11,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,12,0,0,0,0,
268,ARZOBISPO CHACON,CANAGUA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. RIO ARRIBA,ESTHER MARIA MORA MOLINA,OD11141405,,,140206,ESTADAL,,,,,,0,0,0,1,3,4,1,3,4,19,24,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,2,12,0,0,0,0,
269,ARZOBISPO CHACON,CANAGUA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. EL VALLE,BLANCA EMILCE RIVAS,OD00741405,,,141157,ESTADAL,,,,,,5,6,11,6,10,16,11,16,27,28,45,73,0,0,0,0,0,0,0,0,0,0,0,0,100,2,2,6,0,0,0,0,
270,ARZOBISPO CHACON,CAPURI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. RIO ABAJO,MODESTA BOR,OD11301405,,,140225,ESTADAL,,,,,,0,0,0,4,1,5,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,
271,ARZOBISPO CHACON,CAPURI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LAS MESITAS DE CAPURI,VICENTE LECUNA,OD11161405,,,140210,ESTADAL,,,,,,0,0,0,4,4,8,4,4,8,17,16,33,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,6,0,0,0,0,
272,ARZOBISPO CHACON,CAPURI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E.LA MONTAÑA,CONCEPCIÓN MARIÑO,OD11181405,,,140211,ESTADAL,,,,,,0,0,0,7,3,10,7,3,10,11,10,21,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,6,0,0,0,0,
273,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. LOMA DE LA CAÑA,EZEQUIEL DE JESÚS MOLINA CONTRERAS,OD15311405,,,141908,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,,,0,0,
274,ARZOBISPO CHACON,CHACANTA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E MUCURANDA,FILOMENA MOLINA,OD11061405,,,141160,ESTADAL,,,,,,0,0,0,1,2,3,1,2,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6,,,0,0,
275,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL CARRIZAL,FELICITA FLORES,OD11221405,,,140215,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,,,0,0,
276,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL GUAMAL,ADELIA MONTES,OD11231405,,,140216,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,,,0,0,
277,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA HACIENDA,ECOLASTICO ESCALONA,OD11251405,,,140219,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,
278,ARZOBISPO CHACON,CHACANTA,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,E.E LOS UVITOS,ANA FELIX MOLINA,OD11241405,,,140218,ESTADAL,,,,,,0,0,0,4,9,13,4,9,13,15,21,36,9,8,17,0,0,0,0,0,0,0,0,0,66,0,1,6,4,0,0,0,
279,ARZOBISPO CHACON,CHACANTA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. MOCAYES,JUAN GERMAN ROSCIO,OD11271405,,,140521,ESTADAL,,,,,,0,0,0,5,5,10,5,5,10,15,12,27,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,12,0,0,0,0,"{""preescolar"":{""U"":10}}"
280,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL CHORRO,ELOISA CONTRERAS,OD11211405,,,140214,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,
281,ARZOBISPO CHACON,CHACANTA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL PALMAR,IGNACIO ESCALANTE,OD11051405,,,141159,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,
282,ARZOBISPO CHACON,CHACANTA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LOS RASTROJOS,PASTOR CONTRERAS,OD11261405,,,140220,ESTADAL,,,,,,0,0,0,1,6,7,1,6,7,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,6,0,0,0,0,
283,ARZOBISPO CHACON,CHACANTA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL URUMAL,BARBARA MORA,OD11101405,,,141849,ESTADAL,,,,,,0,0,0,2,2,4,2,2,4,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,6,0,0,0,0,
284,ARZOBISPO CHACON,EL MOLINO,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA QUEBRADA,-29654,OD11311405,,,140226,ESTADAL,,,,,,0,0,0,3,1,4,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,
285,ARZOBISPO CHACON,EL MOLINO,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. EL SAISAYAL,ANTONIO RICAURTE,OD11281405,,,140222,ESTADAL,,,,,,0,0,0,3,4,7,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,
286,ARZOBISPO CHACON,EL MOLINO,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. EL PLAYON,ARGELIA LAYA,OD11291405,,,140224,ESTADAL,,,,,,0,0,0,2,2,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,
287,ARZOBISPO CHACON,EL MOLINO,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL QUEBRADON,HECTOR POLEO,OD11321405,,,140227,ESTADAL,,,,,,0,0,0,3,1,4,3,1,4,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,6,0,0,0,0,
288,ARZOBISPO CHACON,GUAIMARAL,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,E.E. LOS CUROS,JUANA RAMÍREZ,OD15221405,,,141158,ESTADAL,,,,,,0,0,0,1,2,3,1,2,3,3,3,6,10,7,17,0,0,0,0,0,0,0,0,0,26,0,1,6,4,0,0,0,
289,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E CUCHILLA DEL MEDIO,FRANCISCO ESPEJO,OD16021405,,,141977,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,
290,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. LOS MESONES,FRANCISCO ESTEBAN GOMEZ,OD11381405,,,140234,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,
291,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,"E,E EL SILECIO",BLANCA ESPERANZA SIERRA,OD11371405,,,140233,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,
292,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL CAÑADON,RAUL GUERRERO GARCÍA,OD11351405,,,140230,ESTADAL,,,,,,0,0,0,2,2,4,2,2,4,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,6,0,0,0,0,
293,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. LA LOMA,JACINTO CONVIT,OD11361405,,,140231,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,
294,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA FUNDACION,LEONOR DE LA GUERRA,OD16031405,,,140238,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,
295,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. EL ENCIERRO,TERESA DE LA PARRA,OD11411405,,,140239,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,
296,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E SORTIFRAN ARRIBA,46165,OD11451405,,,140238,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,
297,ARZOBISPO CHACON,GUAIMARAL,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. EL ENCIERRO,TERESA DE LA PARRA,OD11401405,,,140239,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,
298,ARZOBISPO CHACON,GUAIMARAL,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,,,,,,,,,,,,,,,,,,,,,,E.E EL VIENTO,MARIANO PICÓN SALAS,OD01351405,,,141155,ESTADAL,,,,,,0,0,0,5,3,8,5,3,8,4,9,13,8,3,11,0,0,0,0,0,0,0,0,0,32,0,1,6,4,0,0,0,
299,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA ENSILLADA,GABRIEL BRACHO,OD11421405,,,140252,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,,,0,0,
300,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA LOMITA,CIPRIANO CASTRO,OD04551405,,,142003,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,,,0,0,
301,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA PALMITA,VICENTE SALIAS,OD04641405,,,140264,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,
302,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL VERDOZAL,PULIDO MENDEZ,OD04541405,,,140261,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,,,0,0,
303,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E SANTA ROSA,SANTA ROSA,OD04611405,,,140266,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,,,0,0,
304,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL PORTACHUELO,BATALLA DE LA VICTORIA DE 1814,OD04491405,,,140269,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,,,0,0,
305,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E MOCOTONE,ALI PRIMERA,OD04631405,,,140358,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,,,0,0,
306,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E SANTA INES,SANTA INES,OD04501405,,,140267,ESTADAL,,,,,,0,0,0,1,1,2,1,1,2,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,12,0,0,0,0,
307,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E OTOPUM,OTOPUM,OD04481405,,,140262,ESTADAL,,,,,,0,0,0,1,0,1,1,0,1,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,6,0,0,0,0,
308,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E TIERRA LOSA,RAFAEL RANGEL,OD04591405,,,140206,ESTADAL,,,,,,0,0,0,1,2,3,1,2,3,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,12,0,0,0,0,
309,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL CURO,EL CURO,OD11431405,,,140267,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,
310,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL GUALI,AQUILES NAZOA,OD04531405,,,140271,ESTADAL,,,,,,0,0,0,2,0,2,2,0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,6,0,0,0,0,
311,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E AGUA BLANCA,JOSE MARIA VARGAS,OD04511405,,,140256,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,
312,ARZOBISPO CHACON,MUCUCHACHI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL NARANJO,GETULIO AGOSTINI,OD04581405,,,140263,ESTADAL,,,,,,0,0,0,2,1,3,2,1,3,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,6,0,0,0,0,
313,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA VEGA,JOSE MANUEL SISO,OD03291405,,,140247,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,
314,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E MUCUTUICITO,MANUEL CABALLERO,OD03271405,,,140250,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,
315,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E EL REVENTON,TECLA ARTEMISIA MOSTESSORI,OD03301405,,,140246,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,5,11,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,"{""primaria"":{""5U"":2,""3U"":2,""6U"":3,""1A"":1,""2U"":4}}"
316,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E. MUCURIZA,ARMANDO REVERON,OD03281405,,,140248,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,
317,ARZOBISPO CHACON,MUCUTUY,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E MUCUCHARANI,HILARION ALTUVE ZERPA,OD03261405,,,140249,ESTADAL,,,,,,0,0,0,0,0,0,0,0,0,13,21,34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,6,0,0,0,0,
318,ARZOBISPO CHACON,MUCUTUY,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E.E LA VEGUILLA,UDON PEREZ,OD03251405,,,140243,ESTADAL,,,,,,0,0,0,2,11,13,2,11,13,8,21,29,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,6,0,0,0,0,
319,CAMPO ELIAS,ACEQUIAS,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,41048,AGROPECUARIA,ECOTURISMO,,,,,,,,,,,,,,,,,,,NER 557 SAN JOSE Y ACEQUIAS,MARIA DE LOS REYES ROJAS ROJAS,OD11831406,6970577,,140337,NACIONAL,,,,,,2,0,2,4,4,8,6,4,10,16,5,21,9,13,22,1,1,2,0,0,0,0,0,0,55,1,1,1,22,2,0,0,
320,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,PREESCOLAR,20000,,,,,,,,,,,,,,,,,,,,,,,,,,P E EL CENTERNARIO,MARIA HORTENSIA ZERPA UZCATEGUI,OD01251406,4103294,,140285,NACIONAL,,,,,,0,0,0,28,42,70,28,42,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,0,,,0,0,
321,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB POZO HONDO,PEDRO PABLO RODRIGUEZ FLORES,OD11671406,6590200,,140284,NACIONAL,,,,,,0,0,0,18,13,31,18,13,31,45,82,127,0,0,0,0,0,0,0,0,0,0,0,0,158,0,3,6,0,0,0,0,
322,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,E B-MONSEÑOR DUQUE / JI-MONSE/OR DUQUE,MONSEÑOR DUQUE,OD01391406,7934210,4107127,140289,NACIONAL,,,,,,0,0,0,5,7,12,5,7,12,67,73,140,0,0,0,0,0,0,0,0,0,0,0,0,152,0,2,12,,,0,0,
323,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,LICEO,,,31060,,TECNOLOGIA E INOVACION,,,,,,,,,,,,,,,,,,,,,,EB SAN JOSE,ISABEL BRICEÑO DE FORNEZ,S3877D1406,7950137,6589679,141137,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,92,98,190,0,0,0,0,0,0,0,0,0,190,0,0,0,,,0,0,
324,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC RURAL N 021,EZEQUIEL ZAMORA,OD11691406,6970021,,140291,NACIONAL,,,,,,4,7,11,13,14,27,17,21,38,9,14,23,0,0,0,0,0,0,0,0,0,0,0,0,61,1,3,6,,,0,0,
325,CAMPO ELIAS,IGNACIO FERNANDEZ PEÑA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER - NUC N 490,RESURRECCION ARAQUE,OD11651406,6970490,,140282,NACIONAL,,,,,,0,2,2,2,4,6,2,6,8,18,11,29,0,0,0,0,0,0,0,0,0,0,0,0,37,1,1,7,,,0,0,
326,CAMPO ELIAS,JAJI,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,ESC-JAJI / JI-JAJI,JUSTINA PAREDES VIELMA,OD01301406,6564810,4104830,140343,NACIONAL,,,,,,0,0,0,7,6,13,7,6,13,46,43,89,0,0,0,0,0,0,0,0,0,0,0,0,102,0,2,6,,,0,0,
327,CAMPO ELIAS,JAJI,LICEO,,,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,U.E. DR JOSE MIGUEL MONAGAS,DOCTOR JOSE MIGUEL MONAGAS,S1776D1406,7918745,,140341,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,64,70,134,0,0,0,0,0,0,0,0,0,134,0,0,0,,,0,0,
328,CAMPO ELIAS,JAJI,ESCUELA,,,41049,AGROPECUARIA,CIENCIAS AGRÍCOLAS Y PECUARIAS,,,,,,,,,,,,,,,,,,,,,,E.G. MISTAJA,MISTAJA,T0715D1406,6580010,,140352,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17,0,0,0,0,0,0,17,0,0,0,0,17,0,0,
329,CAMPO ELIAS,LA MESA,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,ESC-JULIO CESAR DAVILA / JI-JULIO C DAVILA,JULIO CESAR DAVILA,S2958D1406,6565610,4105830,140354,NACIONAL,,,,,,6,4,10,19,20,39,25,24,49,76,87,163,55,74,129,0,0,0,0,0,0,0,0,0,341,1,3,8,,,0,0,
330,CAMPO ELIAS,LA MESA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER - NUC N 490,ANA MARIA CAMPOS,OD11931406,6970490,,140355,NACIONAL,,,,,,1,2,3,4,4,8,5,6,11,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,6,,,0,0,
331,CAMPO ELIAS,LA MESA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,UEB LA VEGA DE LAS GONZALEZ,DIGNA ROSA ANGARITA BENITEZ,OD01521406,7950170,,140361,NACIONAL,,,,,,0,0,0,5,2,7,5,2,7,17,29,46,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,6,,,0,0,"{""primaria"":{""1U"":6,""6U"":6}}"
332,CAMPO ELIAS,LA MESA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER - NUC N 490 UEB BERTHA C. ORTIZ OVIEDO,BERTHA CORINA ORTIZ OVIEDO,OD11961406,6970490,,140362,NACIONAL,,,,,,0,0,0,4,1,5,4,1,5,8,19,27,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,6,,,0,0,
333,CAMPO ELIAS,MATRIZ,LICEO,,,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,EBC EJIDO II,JUAN FELIX SANCHEZ,S3979D1406,7932353,,140293,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,287,300,587,0,0,0,0,0,0,0,0,0,587,0,0,0,,,0,0,
334,CAMPO ELIAS,MATRIZ,CENTRO DE EDUCACION INCIAL,20000,,,,,,,,,,,,,,,,,,,,,,,,,,CEIB YUBAN ORTEGA,YUBAN ORTEGA,OD17611406,4170653,,142160,NACIONAL,,,,,,5,7,12,20,21,41,25,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,3,0,,,0,0,
