CANTIDAD,MUNICIPIO,PARROQUIA,DENOMINACIÓN,PLAN DE ESTUDIO 1,PLAN DE ESTUDIO 2,PLAN DE ESTUDIO 3,ESPECIALIDAD 3,MENCIÓN 3,PLAN DE ESTUDIO 4,ESPECIALIDAD 4,MENCIÓN 4,PLAN DE ESTUDIO 5,ESPECIALIDAD 5,MENCIÓN 5,PLAN DE ESTUDIO 6,ESPECIALIDAD 6,MENCIÓN 6,PLAN DE ESTUDIO 7,ESPECIALIDAD 7,MENCIÓN 7,PLAN DE ESTUDIO 8,ESPECIALIDAD 8,MENCIÓN 8,PLAN DE ESTUDIO 9,ESPECIALIDAD 9,MENCIÓN 9,PLAN DE ESTUDIO 10,ESPECIALIDAD 10,MENCIÓN 10,NOMBRE NOMINAL DEL PLANTEL,NUEVO EPÓNIMO,CODIGO DEL PLANTEL,CODIGO DEPENDENCIA 1,CODIGO DEPENDENCIA 2,CODIGO ESTADISTICO,DEPENDENCIA,UBICACIÓN GEOGRAFICA,NIVEL,MODALIDAD,TURNOS DEL PLANTEL,METROS 2,MATERNAL FEM,MATERNAL MAS,MATERNAL TOTAL,PREESCOLAR FEM,PREESCOLAR MAS,PREESCOLAR TOTAL,INICIAL FEM,INICIAL MAS,INICIAL TOTAL,PRIMARIA FEM,PRIMARIA MAS,PRIMARIA TOTAL,MEDIA GENERAL FEM,MEDIA GENERAL MAS,MEDIA GENERAL TOTAL,MEDIA TECNICA FEM,MEDIA TECNICA MAS,MEDIA TECNICA TOTAL,ADULTO FEM,ADULTO MAS,ADULTO TOTAL,ESPECIAL FEM,ESPECIAL MAS,ESPECIAL TOTAL,MATRICULA TOTAL,MATERNAL,PREESCOLAR,PRIMARIA,MEDIA GENERAL,MEDIA TECNICA,ADULTO,ESPECIAL,
159,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,ERNESTO DUGARTE,OD10771403,6970339,,140180,NACIONAL,,INICIAL - PRIMARIA,,,,0,0,0,8,4,12,8,4,12,13,16,29,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,,,0,0,
160,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,MARCOS DUARTE,OD10681403,6970339,,140158,NACIONAL,,,,,,0,0,0,2,1,3,2,1,3,5,12,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,,0,0,
161,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,CARLOS RAMON CONTRERAS,OD10761403,6970339,,140179,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,,0,0,
162,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,DIEGO MENDEZ,OD10381403,6970339,,141175,NACIONAL,,INICIAL - PRIMARIA,,MAÑANA,,0,0,0,0,0,0,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,,,0,0,
163,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,JOSE MODESTO MOLINA,OD04781403,6970339,,140137,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,
164,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,MARIA CONCEPCION CARRERO,OD02191403,6970339,,140176,NACIONAL,,,,,,0,0,0,1,5,6,1,5,6,21,20,41,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,6,,,0,0,
165,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 339,MANUEL PAREDES,OD04851403,6970339,,141191,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,13,13,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,
166,ANTONIO PINTO SALINA,MESA BOLIVAR,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 340,MANUEL DE JESUS MORA GARCIA,OD05321403,6970340,,140143,NACIONAL,,,,,,0,0,0,5,9,14,5,9,14,24,30,54,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,4,,,0,0,
167,ANTONIO PINTO SALINA,MESA BOLIVAR,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 340,MANUEL DE JESUS MORA GARCIA,OD05331403,6970340,,141191,NACIONAL,,,,,,0,0,0,2,2,4,2,2,4,7,13,20,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,2,,,0,0,
168,ANTONIO PINTO SALINA,MESA BOLIVAR,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 340,JOSE GONZALO GUERRERO,OD01991403,6970340,,140175,NACIONAL,,,,,,26,28,54,6,6,12,32,34,66,24,27,51,0,0,0,0,0,0,0,0,0,0,0,0,117,4,12,5,,,0,0,
169,ANTONIO PINTO SALINA,MESA BOLIVAR,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 340,JOSE RAFAEL MIRANDA,OD05341403,6970340,,140151,NACIONAL,,,,,,0,0,0,6,7,13,6,7,13,19,26,45,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,6,,,0,0,
170,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 340,LA VICTORIA,OD17011403,6970340,,142118,NACIONAL,,INICIAL - PRIMARIA,,,,0,0,0,1,0,1,1,0,1,13,4,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,6,,,0,0,
171,ANTONIO PINTO SALINA,MESA DE LAS PALMAS,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 512,MANUEL GUERRERO,OD10481403,6970512,,141152,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,18,27,45,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7,,,0,0,
172,ANTONIO PINTO SALINA,MESA DE LAS PALMAS,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 512,SAN JOSE,OD10781403,6970512,,140181,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,15,11,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,
173,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,ESCUELA,20000,21000,,,,,,,,,,,,,,,,,,,,,,,,,NER NUC ESC.RURAL N 512,SANTA MARTA,OD10731403,6970512,,140172,NACIONAL,,INICIAL - PRIMARIA,,MAÑANA,,0,0,0,3,2,5,3,2,5,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,6,,,0,0,
174,ANTONIO PINTO SALINA,MESA BOLIVAR,COMPLEJO EDUCATIVO,20000,21000,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,45041,SALUD,ENFERMERÍA,46071,ECONOMÍA SOCIAL,TURISMO,,,,,,,,,,,,,C-B SANTOS MARQUINA,SANTOS MARQUINA,S1153D1403,7916328,,140184,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
175,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,LICEO,,,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,C-B EUTIMIO RIVAS,EUTIMIO RIVAS,S1357D1403,7918191,,140183,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,291,294,585,0,0,0,0,0,0,0,0,0,585,0,0,0,25,0,0,0,
176,ANTONIO PINTO SALINA,SANTA CRUZ DE MORA,LICEO,,,31059,MEDIA GENERAL,CIENCIAS,31060,MEDIA GENERAL,CIENCIAS Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,CCB EUTIMIO RIVAS,RAMON OVIDIO BARRIOS,S1357N1403,7918560,,141311,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,56,47,103,0,0,0,0,0,0,0,0,0,103,0,0,0,,,0,0,
177,ANTONIO PINTO SALINA,MESA DE LAS PALMAS,ESCUELA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,U.E.B MESA DE LAS PALMAS,ANTONIO RICAURTE,OD10661403,7950702,,140154,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,40,61,101,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,7,0,0,0,0,
178,ANTONIO PINTO SALINA,MESA DE LAS PALMAS,LICEO,,,31059,,CIENCIAS,31060,,CIENCIA Y TECNOLOGIA,,,,,,,,,,,,,,,,,,,L.B  ANDRES ELOY BLANCO,ANDRES ELOY BLANCO,OD17181403,7950742,,142115,NACIONAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,63,53,116,0,0,0,0,0,0,0,0,0,116,0,0,0,10,0,0,0,
